Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
Cauli et al PNAS	10.1073/pnas.97.11.6144	B. Cauli, J. T. Porter, K. Tsuzuki, B. Lambolez, J. Rossier, B. Quenet, E. Audinat	Proceedings of the National Academy of Sciences	Classification of fusiform neocortical interneurons based on unsupervised clustering	20020726	-	85	Rat	Brain	sc-RT-mPCR	""	30	qPCR	Cerebral cortex	""	""	21-27 days	3	Yes	No	No	Yes	No	""	Patch-clamp	""	
Malnic et al Cell	10.1016/S0092-8674(00)80581-4	Bettina Malnic, Junzo Hirono, Takaaki Sato, Linda B Buck	Cell	Combinatorial Receptor Codes for Odors	20040410	-	18	Mouse	Brain	PCR	""	""	qPCR	Olfactory neurons	""	""	""		""	""	""	""	""	""	""	""	
Tietjen et al Neuron	10.1016/S0896-6273(03)00229-0	Ian Tietjen, Jason M. Rihel, Yanxiang Cao, Georgy Koentges, Lisa Zakhary, Catherine Dulac	Neuron	Single-Cell Transcriptional Analysis of Neuronal Progenitors	20040415	-	37	Human, Mouse	Brain	PCR	""	13,000	Microarray	OSNs, OPCs	""	""	""	6	""	""	""	""	""	""	Manual, LCM	""	
Gallopin et al CCortex	10.1093/cercor/bhj081	Thierry Gallopin, Hélène Geoffroy, Jean Rossier, Bertrand Lambolez	Cerebral Cortex	Cortical Sources of CRF, NKB, and CCK and Their Effects on Pyramidal Cells in the Neocortex	20051208	-	157	Rat	Brain	sc-RT-mPCR	""	50	qPCR	Cerebral cortex	""	""	21-27 days	4	Yes	No	No	Yes	No	""	Patch-clamp	""	
Kurimoto et al NAR	10.1093/nar/gkl050	K. Kurimoto	Nucleic Acids Research	An improved single-cell cDNA amplification method for efficient high-density oligonucleotide microarray analysis	20060330	-	20	Mouse	ICM	aRNA amplification	GSE4309	""	Microarray	E3.5 ICM	""	""	E3.5	2	""	""	""	""	""	""	""	""	
Ferezou et al CCortex	10.1093/cercor/bhl104	I. Ferezou, E. L. Hill, B. Cauli, N. Gibelin, T. Kaneko, J. Rossier, B. Lambolez	Cerebral Cortex	Extensive Overlap of Mu-Opioid and Nicotinic Sensitivity in Cortical Interneurons	20061027	-	360	Rat	Brain	sc-RT-mPCR	""	30	qPCR	Cerebral cortex	""	""	21-27 days	4	No	No	No	No	No	""	Patch-clamp	""	
Esumi et al NResearch	10.1016/j.neures.2007.12.011	Shigeyuki Esumi, Sheng-Xi Wu, Yuchio Yanagawa, Kunihiko Obata, Yukihiko Sugimoto, Nobuaki Tamamaki	Neuroscience Research	Method for single-cell microarray analysis and application to gene-expression profiling of GABAergic neuron progenitors	20080107	-	8	Mouse	Brain	Super SMART	""	""	Microarray	GABAergic NPCs	""	""	""	1	""	""	""	""	No	""	""	""	
Subkhankulova et al BMCGenomics	10.1186/1471-2164-9-268	Tatiana Subkhankulova, Michael J Gilchrist, Frederick J Livesey	BMC Genomics	Modelling and measuring single cell RNA expression levels find considerable transcriptional differences among phenotypically identical cells	20080613	-	12	Mouse	Brain	PCR	""	23,232	Microarray	E11.5 NPCs	""	""	E11.5		""	""	""	""	""	""	""	""	
Karagiannis et al JNeuroscience	10.1523/JNEUROSCI.0058-09.2009	A. Karagiannis, T. Gallopin, C. David, D. Battaglia, H. Geoffroy, J. Rossier, E. M. C. Hillman, J. F. Staiger, B. Cauli	Journal of Neuroscience	Classification of NPY-Expressing Neocortical Interneurons	20090318	-	200	Rat	Brain	sc-RT-mPCR	""	30	qPCR	Cerebral cortex	""	""	21-27 days	4	Yes	No	No	Yes	No	""	Patch-clamp	""	
Tang et al NMeth	10.1038/NMETH.1315	Fuchou Tang, Catalin Barbacioru, Yangzhou Wang, Ellen Nordman, Clarence Lee, Nanlan Xu, Xiaohui Wang, John Bodeau, Brian B Tuch, Asim Siddiqui, Kaiqin Lao, M Azim Surani	Nat Methods	mRNA-Seq whole-transcriptome analysis of a single cell	20090406	-	5	Mouse	Oocyte	Tang	GSE14605	""	RNA-seq	Oocyte	""	""	E0		No	No	No	No	No	""	Pipetting (Manual picking)	""	
Sul et al PNAS	10.1073/pnas.0902161106	J.-Y. Sul, C.-w. K. Wu, F. Zeng, J. Jochems, M. T. Lee, T. K. Kim, T. Peritz, P. Buckley, D. J. Cappelleri, M. Maronski, M. Kim, V. Kumar, D. Meaney, J. Kim, J. Eberwine	Proceedings of the National Academy of Sciences	Transcriptome transfer produces a predictable cellular phenotype	20090421	-	48	Rat	Brain	aRNA amplification	""	""	Microarray	Brain	""	""	""	6	Yes	""	""	""	""	""	""	""	
